Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1943,1990
2,2200,2300.91,2300.91,2253.36,2290.53
3,2550,2611.82,2611.82,2563.73,2591.07
4,2790,2922.73,2922.73,2874.09,2891.6
5,3060,3233.64,3233.64,3184.45,3192.13
6,3370,3544.55,3544.55,3494.82,3492.67
1,3800,3855.45,3855.45,3805.18,3793.2
2,4170,4166.36,4166.36,4115.55,4093.73
3,4520,4477.27,4477.27,4425.91,4394.27
4,4840,4788.18,4788.18,4736.27,4694.8
5,5100,5099.09,5099.09,5046.64,4995.34
6,5410,5410,5410,5357,5295.87
1,5910,6000.5,6007.25,6010.5,5896.94
2,6300,6313.27,6319.13,6320.86,6197.47
3,6660,6626.03,6631.01,6631.23,6498
4,6980,6938.8,6942.89,6941.59,6798.54
5,7210,7251.57,7254.77,7251.95,7099.07
6,7560,7564.34,7566.65,7562.32,7399.6
1,7920,7877.1,7878.53,7872.68,7700.14
2,8220,8189.87,8190.41,8183.05,8000.67
3,8530,8502.64,8502.29,8493.41,8301.2
4,8810,8815.4,8814.17,8803.77,8601.74
5,9100,9128.17,9126.05,9114.14,8902.27
6,9410,9440.94,9437.93,9424.5,9202.81
1,10020,10023.8,10036.6,10043.1,9803.87
2,10310,10335.3,10346.5,10350.9,10104.4
3,10670,10646.9,10656.3,10658.6,10404.9
4,10970,10958.5,10966.2,10966.4,10705.5
5,11220,11270.1,11276.1,11274.2,11006
6,11580,11581.6,11586,11581.9,11306.5
1,11890,11893.2,11895.9,11889.7,11607.1
2,12240,12204.8,12205.8,12197.5,11907.6
3,12520,12516.3,12515.7,12505.3,12208.1
4,12840,12827.9,12825.6,12813,12508.7
5,13130,13139.5,13135.5,13120.8,12809.2
6,13440,13451,13445.4,13428.6,13109.7
1,14000,14033.2,14045.8,14044,13710.8
2,14340,14342.9,14353.8,14351.6,14011.3
3,14690,14652.5,14661.8,14659.2,14311.9
4,14960,14962.2,14969.8,14966.8,14612.4
5,15220,15271.8,15277.8,15274.4,14912.9
6,15560,15581.5,15585.8,15582,15213.5
1,15950,15891.1,15893.8,15889.6,15514
2,16270,16200.8,16201.8,16197.3,15814.5
3,16510,16510.4,16509.8,16504.9,16115.1
4,16810,16820.1,16817.8,16812.5,16415.6
5,17090,17129.7,17125.8,17120.1,16716.1
6,17430,17439.4,17433.8,17427.7,17016.7
1,18040,18035.4,18052.5,18068,17617.7
2,18390,18346.3,18360.6,18373.8,17918.3
3,18670,18657.1,18668.7,18679.6,18218.8
4,18990,18968,18976.8,18985.4,18519.3
5,19210,19278.8,19284.9,19291.3,18819.9
6,19530,19589.7,19593,19597.1,19120.4
1,19950,19900.6,19901,19902.9,19420.9
2,20270,20211.4,20209.1,20208.7,19721.5
3,20550,20522.3,20517.2,20514.6,20022
4,20850,20833.1,20825.3,20820.4,20322.5
5,21130,21144,21133.4,21126.2,20623.1
6,21420,21454.9,21441.5,21432,20923.6
1,21980,22018.5,22037.4,22035.6,21524.7
2,22300,22326.2,22344.9,22338.8,21825.2
3,22670,22633.8,22652.4,22642,22125.7
4,22940,22941.5,22959.9,22945.3,22426.3
5,23210,23249.2,23267.4,23248.5,22726.8
6,23560,23556.9,23574.9,23551.7,23027.3
1,23870,23864.6,23882.4,23854.9,23327.9
2,24220,24172.3,24189.9,24158.2,23628.4
3,24440,24480,24497.3,24461.4,23928.9
4,24800,24787.7,24804.8,24764.6,24229.5
5,25060,25095.3,25112.3,25067.9,24530
