Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2050,2050,2050,2232.74,2050
2,2310,2308.42,2308.42,2471.14,2272.85
3,2560,2566.84,2566.84,2709.53,2495.7
4,2840,2825.26,2825.26,2947.93,2718.55
5,3100,3083.68,3083.68,3186.32,2941.4
6,3430,3342.11,3342.11,3424.72,3164.25
7,3760,3600.53,3600.53,3663.12,3387.1
8,4110,3858.95,3858.95,3901.51,3609.95
9,4340,4117.37,4117.37,4139.91,3832.8
10,4590,4375.79,4375.79,4378.3,4055.65
1,4570,4634.21,4634.21,4616.7,4278.5
2,4650,4892.63,4892.63,4855.09,4501.35
3,4980,5151.05,5151.05,5093.49,4724.2
4,5320,5409.47,5409.47,5331.88,4947.05
5,5570,5667.89,5667.89,5570.28,5169.9
6,5890,5926.32,5926.32,5808.68,5392.75
7,6000,6184.74,6184.74,6047.07,5615.6
8,6350,6443.16,6443.16,6285.47,5838.45
9,6570,6701.58,6701.58,6523.86,6061.3
10,6960,6960,6960,6762.26,6284.15
1,7430,7429.64,7443.82,7350.74,6729.85
2,7690,7660.11,7673.2,7589.14,6952.7
3,7880,7890.58,7902.58,7827.53,7175.55
4,8130,8121.05,8131.95,8065.93,7398.4
5,8270,8351.52,8361.33,8304.32,7621.25
6,8550,8581.99,8590.71,8542.72,7844.1
7,8760,8812.46,8820.09,8781.12,8066.95
8,9030,9042.93,9049.47,9019.51,8289.8
9,9280,9273.4,9278.85,9257.91,8512.65
10,9440,9503.87,9508.23,9496.3,8735.5
1,9790,9734.34,9737.61,9734.7,8958.35
2,10020,9964.81,9966.98,9973.09,9181.2
3,10240,10195.3,10196.4,10211.5,9404.05
4,10440,10425.8,10425.7,10449.9,9626.9
5,10650,10656.2,10655.1,10688.3,9849.75
6,10880,10886.7,10884.5,10926.7,10072.6
7,11130,11117.2,11113.9,11165.1,10295.5
8,11350,11347.6,11343.3,11403.5,10518.3
9,11530,11578.1,11572.6,11641.9,10741.2
10,11820,11808.6,11802,11880.3,10964
1,12360,12317.3,12295.6,12295,11409.7
2,12610,12545.7,12525.7,12526.1,11632.6
3,12820,12774.2,12755.9,12757.1,11855.4
4,12960,13002.7,12986,12988.2,12078.3
5,13200,13231.2,13216.1,13219.2,12301.1
6,13450,13459.6,13446.3,13450.3,12524
7,13640,13688.1,13676.4,13681.3,12746.8
8,13900,13916.6,13906.6,13912.4,12969.7
9,14150,14145,14136.7,14143.4,13192.5
10,14340,14373.5,14366.8,14374.5,13415.4
1,14640,14602,14597,14605.5,13638.2
2,14820,14830.5,14827.1,14836.6,13861.1
3,15100,15058.9,15057.3,15067.6,14083.9
4,15260,15287.4,15287.4,15298.7,14306.8
5,15540,15515.9,15517.5,15529.7,14529.6
6,15740,15744.3,15747.7,15760.8,14752.5
7,15990,15972.8,15977.8,15991.8,14975.3
8,16210,16201.3,16207.9,16222.9,15198.2
9,16380,16429.8,16438.1,16453.9,15421
10,16690,16658.2,16668.2,16685,15643.9
1,17130,17148.2,17136.9,17119.9,16089.6
2,17360,17374.8,17364.4,17349.4,16312.4
3,17630,17601.4,17591.9,17578.9,16535.3
4,17820,17828,17819.4,17808.3,16758.1
5,18030,18054.6,18046.9,18037.8,16981
6,18290,18281.2,18274.3,18267.3,17203.8
7,18490,18507.9,18501.8,18496.8,17426.7
8,18720,18734.5,18729.3,18726.3,17649.5
9,18980,18961.1,18956.8,18955.8,17872.4
10,19180,19187.7,19184.3,19185.3,18095.2
1,19470,19414.3,19411.8,19414.7,18318.1
2,19680,19641,19639.2,19644.2,18540.9
3,19840,19867.6,19866.7,19873.7,18763.8
