Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2580,2580,2580,2560.98,2580
2,2780,2892.73,2892.73,2872.17,2876.18
3,3170,3205.45,3205.45,3183.35,3172.36
4,3470,3518.18,3518.18,3494.54,3468.55
5,3730,3830.91,3830.91,3805.72,3764.73
6,4020,4143.64,4143.64,4116.91,4060.91
1,4420,4456.36,4456.36,4428.09,4357.09
2,4810,4769.09,4769.09,4739.28,4653.28
3,5140,5081.82,5081.82,5050.46,4949.46
4,5410,5394.55,5394.55,5361.65,5245.64
5,5720,5707.27,5707.27,5672.83,5541.82
6,6020,6020,6020,5984.02,5838.01
1,6600,6637.33,6639.11,6650.98,6430.37
2,6950,6951.15,6952.69,6962.17,6726.55
3,7280,7264.97,7266.28,7273.35,7022.74
4,7640,7578.79,7579.87,7584.54,7318.92
5,7880,7892.61,7893.45,7895.72,7615.1
6,8160,8206.43,8207.04,8206.91,7911.28
1,8510,8520.25,8520.62,8518.09,8207.47
2,8880,8834.07,8834.21,8829.28,8503.65
3,9140,9147.89,9147.79,9140.46,8799.83
4,9450,9461.7,9461.38,9451.65,9096.01
5,9740,9775.52,9774.97,9762.83,9392.2
6,10120,10089.3,10088.6,10074,9688.38
1,10610,10660.6,10673.8,10688.6,10280.7
2,10950,10973.5,10985,10995.5,10576.9
3,11290,11286.4,11296.1,11302.4,10873.1
4,11640,11599.3,11607.3,11609.3,11169.3
5,11890,11912.2,11918.5,11916.3,11465.5
6,12190,12225.1,12229.7,12223.2,11761.7
1,12530,12538,12540.8,12530.1,12057.8
2,12890,12850.9,12852,12837.1,12354
3,13170,13163.9,13163.2,13144,12650.2
4,13490,13476.8,13474.4,13450.9,12946.4
5,13780,13789.7,13785.5,13757.8,13242.6
6,14090,14102.6,14096.7,14064.8,13538.7
1,14630,14663.6,14682.2,14679.5,14131.1
2,14940,14971.7,14987.9,14984.3,14427.3
3,15290,15279.8,15293.5,15289.1,14723.5
4,15630,15587.9,15599.2,15593.9,15019.7
5,15890,15896,15904.8,15898.7,15315.8
6,16190,16204.1,16210.5,16203.4,15612
1,16510,16512.2,16516.1,16508.2,15908.2
2,16840,16820.3,16821.8,16813,16204.4
3,17150,17128.4,17127.4,17117.8,16500.6
4,17430,17436.4,17433.1,17422.6,16796.8
5,17720,17744.5,17738.7,17727.4,17092.9
6,18050,18052.6,18044.4,18032.2,17389.1
1,18590,18618.5,18646.7,18643.7,17981.5
2,18940,18927,18952.1,18947.4,18277.7
3,19280,19235.5,19257.5,19251.1,18573.9
4,19550,19543.9,19562.9,19554.8,18870
5,19790,19852.4,19868.3,19858.6,19166.2
6,20130,20160.9,20173.7,20162.3,19462.4
1,20450,20469.3,20479.1,20466,19758.6
2,20820,20777.8,20784.5,20769.8,20054.8
3,21100,21086.2,21090,21073.5,20350.9
4,21420,21394.7,21395.4,21377.2,20647.1
5,21680,21703.2,21700.8,21681,20943.3
6,22020,22011.6,22006.2,21984.7,21239.5
1,22550,22573.2,22604.5,22598.7,21831.9
2,22860,22881.3,22909.6,22901.8,22128
3,23200,23189.4,23214.6,23204.9,22424.2
4,23550,23497.5,23519.7,23508,22720.4
5,23790,23805.6,23824.8,23811.2,23016.6
6,24100,24113.7,24129.8,24114.3,23312.8
1,24440,24421.8,24434.9,24417.4,23609
2,24710,24729.9,24740,24720.5,23905.1
3,25000,25038,25045,25023.6,24201.3
4,25370,25346.1,25350.1,25326.8,24497.5
5,25620,25654.3,25655.1,25629.9,24793.7
6,26000,25962.4,25960.2,25933,25089.9
1,26520,26520.3,26554.1,26544.3,25682.2
2,26800,26827.8,26858.7,26846.9,25978.4
3,27130,27135.2,27163.3,27149.4,26274.6
4,27490,27442.7,27467.9,27452,26570.8
5,27700,27750.1,27772.6,27754.5,26867
6,28050,28057.6,28077.2,28057.1,27163.1
1,28380,28365.1,28381.8,28359.6,27459.3
2,28660,28672.5,28686.4,28662.2,27755.5
3,28970,28980,28991,28964.7,28051.7
4,29300,29287.4,29295.6,29267.2,28347.9
5,29580,29594.9,29600.2,29569.8,28644.1
6,29920,29902.3,29904.8,29872.3,28940.2
1,30430,30458.2,30496.1,30489.8,29532.6
2,30740,30765.6,30800.2,30790.7,29828.8
3,31090,31073.1,31104.4,31091.7,30125
4,31420,31380.5,31408.5,31392.6,30421.1
5,31640,31687.9,31712.6,31693.6,30717.3
6,31960,31995.3,32016.7,31994.5,31013.5
1,32300,32302.7,32320.8,32295.5,31309.7
2,32640,32610.2,32624.9,32596.4,31605.9
3,32880,32917.6,32929.1,32897.4,31902.1
4,33240,33225,33233.2,33198.3,32198.2
5,33530,33532.4,33537.3,33499.3,32494.4
6,33870,33839.9,33841.4,33800.2,32790.6
1,34350,34377.7,34418.2,34393.4,33383
2,34630,34682.7,34721.4,34693.9,33679.2
3,35020,34987.7,35024.7,34994.3,33975.3
4,35320,35292.7,35327.9,35294.7,34271.5
5,35550,35597.7,35631.1,35595.2,34567.7
6,35870,35902.6,35934.3,35895.6,34863.9
1,36200,36207.6,36237.5,36196.1,35160.1
2,36530,36512.6,36540.8,36496.5,35456.2
3,36760,36817.6,36844,36796.9,35752.4
4,37130,37122.6,37147.2,37097.4,36048.6
5,37430,37427.5,37450.4,37397.8,36344.8
6,37760,37732.5,37753.6,37698.2,36641
1,38320,38292.2,38335.8,38314.7,37233.3
2,38610,38596.9,38638.3,38615.5,37529.5
3,38940,38901.7,38940.8,38916.3,37825.7
4,39220,39206.5,39243.4,39217.1,38121.9
5,39460,39511.3,39545.9,39517.9,38418.1
6,39780,39816.1,39848.4,39818.8,38714.3
1,40110,40120.9,40150.9,40119.6,39010.4
2,40400,40425.7,40453.4,40420.4,39306.6
3,40710,40730.5,40755.9,40721.2,39602.8
4,41050,41035.2,41058.4,41022,39899
5,41360,41340,41360.9,41322.8,40195.2
6,41670,41644.8,41663.5,41623.7,40491.3
1,42170,42200.9,42247.3,42218.5,41083.7
2,42480,42506.6,42549.3,42520.6,41379.9
3,42800,42812.3,42851.2,42822.7,41676.1
4,43150,43118.1,43153.1,43124.8,41972.3
5,43420,43423.8,43455.1,43426.9,42268.4
6,43730,43729.6,43757,43729,42564.6
1,44030,44035.3,44058.9,44031,42860.8
2,44340,44341.1,44360.9,44333.1,43157
3,44610,44646.8,44662.8,44635.2,43453.2
4,44980,44952.6,44964.7,44937.3,43749.4
5,45260,45258.3,45266.7,45239.4,44045.5
6,45590,45564,45568.6,45541.5,44341.7
2,46160,46139.2,46174.2,46172,44934.1
1,46480,46446.5,46476.2,46474.6,45230.3
3,46790,46753.8,46778.2,46777.3,45526.5
5,47060,47061.2,47080.2,47080,45822.6
4,47410,47368.5,47382.2,47382.7,46118.8
6,47650,47675.8,47684.2,47685.3,46415
2,47940,47983.1,47986.2,47988,46711.2
3,48270,48290.4,48288.2,48290.7,47007.4
1,48610,48597.7,48590.2,48593.4,47303.5
4,48940,48905,48892.2,48896,47599.7
5,49210,49212.4,49194.2,49198.7,47895.9
6,49520,49519.7,49496.2,49501.4,48192.1
3,50080,50080.1,50100.7,50106.9,48784.5
2,50410,50385.6,50402.8,50408,49080.6
4,50780,50691.2,50704.8,50709,49376.8
1,51010,50996.7,51006.8,51010,49673
5,51220,51302.2,51308.8,51311,49969.2
6,51540,51607.8,51610.8,51612,50265.4
3,51940,51913.3,51912.8,51913,50561.6
4,52280,52218.8,52214.9,52214,50857.7
2,52560,52524.4,52516.9,52515,51153.9
5,52830,52829.9,52818.9,52816,51450.1
1,53140,53135.4,53120.9,53117,51746.3
6,53360,53441,53422.9,53418.1,52042.5
4,54060,54002.3,54021.9,54023.1,52634.8
3,54370,54306.4,54323.7,54323.6,52931
5,54620,54610.5,54625.6,54624.1,53227.2
2,54870,54914.6,54927.4,54924.6,53523.4
1,55200,55218.8,55229.3,55225.1,53819.6
6,55420,55522.9,55531.2,55525.6,54115.7
4,55820,55827,55833,55826.1,54411.9
5,56150,56131.1,56134.9,56126.6,54708.1
3,56440,56435.3,56436.8,56427.1,55004.3
1,56770,56739.4,56738.6,56727.6,55300.5
2,57090,57043.5,57040.5,57028.1,55596.7
6,57300,57347.6,57342.4,57328.6,55892.8
5,57880,57913.4,57938.8,57946.7,56485.2
