Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1982.82,1990
2,2310,2300.91,2300.91,2286.09,2283.36
3,2670,2611.82,2611.82,2589.37,2576.71
4,2850,2922.73,2922.73,2892.64,2870.07
5,3110,3233.64,3233.64,3195.92,3163.42
6,3440,3544.55,3544.55,3499.2,3456.78
1,3770,3855.45,3855.45,3802.47,3750.13
2,4090,4166.36,4166.36,4105.75,4043.49
3,4430,4477.27,4477.27,4409.02,4336.84
4,4730,4788.18,4788.18,4712.3,4630.2
5,5010,5099.09,5099.09,5015.57,4923.55
6,5410,5410,5410,5318.85,5216.91
1,5940,5974.85,5986.55,5954.48,5803.62
2,6250,6275.48,6285.64,6257.76,6096.97
3,6590,6576.11,6584.73,6561.03,6390.33
4,6850,6876.74,6883.82,6864.31,6683.69
5,7150,7177.36,7182.91,7167.59,6977.04
6,7480,7477.99,7482,7470.86,7270.4
1,7810,7778.62,7781.09,7774.14,7563.75
2,8120,8079.25,8080.18,8077.41,7857.11
3,8370,8379.87,8379.27,8380.69,8150.46
4,8640,8680.5,8678.36,8683.97,8443.82
5,8940,8981.13,8977.45,8987.24,8737.17
6,9330,9281.76,9276.54,9290.52,9030.53
1,9870,9865.44,9870.45,9897.06,9617.24
2,10140,10170.7,10175.1,10196.7,9910.59
3,10510,10476.1,10479.7,10496.3,10203.9
4,10780,10781.4,10784.4,10795.9,10497.3
5,11040,11086.7,11089,11095.6,10790.7
6,11400,11392,11393.7,11395.2,11084
1,11730,11697.3,11698.3,11694.8,11377.4
2,12030,12002.6,12003,11994.4,11670.7
3,12330,12307.9,12307.6,12294.1,11964.1
4,12590,12613.2,12612.3,12593.7,12257.4
5,12900,12918.5,12916.9,12893.3,12550.8
6,13220,13223.9,13221.6,13192.9,12844.1
1,13750,13785.8,13800.3,13780.6,13430.9
2,14050,14083.6,14096.2,14079,13724.2
3,14420,14381.4,14392.1,14377.3,14017.6
4,14710,14679.2,14688,14675.7,14310.9
5,14960,14977,14983.9,14974.1,14604.3
6,15280,15274.8,15279.8,15272.5,14897.6
1,15580,15572.6,15575.7,15570.9,15191
2,15860,15870.4,15871.6,15869.2,15484.3
3,16170,16168.2,16167.5,16167.6,15777.7
4,16460,16466,16463.4,16466,16071.1
5,16750,16763.8,16759.3,16764.4,16364.4
6,17070,17061.6,17055.3,17062.7,16657.8
1,17670,17652.7,17662.6,17673.6,17244.5
2,17970,17952.7,17959,17971.4,17537.8
3,18280,18252.6,18255.3,18269.3,17831.2
4,18580,18552.6,18551.7,18567.1,18124.5
5,18820,18852.6,18848.1,18864.9,18417.9
6,19170,19152.5,19144.4,19162.8,18711.3
1,19510,19452.5,19440.8,19460.6,19004.6
2,19770,19752.5,19737.2,19758.4,19298
3,20050,20052.4,20033.5,20056.2,19591.3
4,20350,20352.4,20329.9,20354.1,19884.7
5,20610,20652.3,20626.3,20651.9,20178
6,20960,20952.3,20922.7,20949.7,20471.4
1,21520,21523.3,21527.8,21537.3,21058.1
2,21820,21823.5,21824.5,21834.9,21351.5
3,22130,22123.8,22121.3,22132.5,21644.8
4,22460,22424,22418,22430.1,21938.2
5,22730,22724.2,22714.8,22727.8,22231.5
6,22990,23024.5,23011.6,23025.4,22524.9
1,23310,23324.7,23308.3,23323,22818.2
2,23590,23624.9,23605.1,23620.6,23111.6
3,23920,23925.2,23901.8,23918.2,23404.9
4,24230,24225.4,24198.6,24215.8,23698.3
5,24520,24525.6,24495.4,24513.4,23991.7
6,24870,24825.9,24792.1,24811,24285
1,25390,25402.9,25402.7,25421.3,24871.7
2,25690,25703.4,25700,25718.9,25165.1
3,26010,26003.9,25997.2,26016.6,25458.4
4,26350,26304.4,26294.5,26314.2,25751.8
5,26620,26604.9,26591.8,26611.9,26045.1
6,26890,26905.3,26889.1,26909.5,26338.5
1,27250,27205.8,27186.3,27207.2,26631.8
2,27520,27506.3,27483.6,27504.8,26925.2
3,27800,27806.8,27780.9,27802.4,27218.6
4,28110,28107.3,28078.2,28100.1,27511.9
5,28370,28407.8,28375.4,28397.7,27805.3
6,28700,28708.3,28672.7,28695.4,28098.6
1,29290,29276.9,29275.3,29284.5,28685.3
2,29570,29576,29572.8,29582.1,28978.7
3,29900,29875.1,29870.4,29879.8,29272
4,30180,30174.3,30167.9,30177.5,29565.4
5,30440,30473.4,30465.4,30475.2,29858.8
6,30750,30772.5,30762.9,30772.8,30152.1
1,31110,31071.6,31060.4,31070.5,30445.5
2,31380,31370.7,31357.9,31368.2,30738.8
3,31680,31669.8,31655.4,31665.8,31032.2
4,31970,31968.9,31953,31963.5,31325.5
5,32230,32268.1,32250.5,32261.2,31618.9
6,32560,32567.2,32548,32558.9,31912.2
1,33140,33150.5,33154.6,33168.6,32499
2,33430,33450.9,33452.5,33466.4,32792.3
3,33780,33751.4,33750.3,33764.3,33085.7
4,34080,34051.9,34048.2,34062.1,33379
5,34330,34352.3,34346.1,34359.9,33672.4
6,34680,34652.8,34643.9,34657.8,33965.7
1,34970,34953.3,34941.8,34955.6,34259.1
2,35270,35253.7,35239.7,35253.4,34552.4
3,35560,35554.2,35537.6,35551.2,34845.8
4,35860,35854.6,35835.4,35849.1,35139.2
5,36120,36155.1,36133.3,36146.9,35432.5
6,36460,36455.6,36431.2,36444.7,35725.9
1,37040,37027,37030.7,37040,36312.6
2,37330,37326.6,37328.7,37337.1,36605.9
3,37630,37626.1,37626.7,37634.2,36899.3
4,37940,37925.7,37924.6,37931.3,37192.6
5,38190,38225.2,38222.6,38228.5,37486
6,38490,38524.7,38520.6,38525.6,37779.4
1,38850,38824.3,38818.6,38822.7,38072.7
2,39140,39123.8,39116.6,39119.9,38366.1
3,39450,39423.4,39414.6,39417,38659.4
4,39730,39722.9,39712.5,39714.1,38952.8
5,39990,40022.4,40010.5,40011.2,39246.1
6,40310,40322,40308.5,40308.4,39539.5
2,40930,40897.8,40903.2,40913,40126.2
1,41210,41196.2,41201.1,41208.9,40419.5
3,41510,41494.7,41499.1,41504.9,40712.9
5,41780,41793.1,41797,41800.9,41006.3
4,42100,42091.5,42094.9,42096.9,41299.6
6,42390,42389.9,42392.9,42392.8,41593
2,42660,42688.3,42690.8,42688.8,41886.3
3,42990,42986.7,42988.7,42984.8,42179.7
1,43320,43285.1,43286.7,43280.8,42473
4,43560,43583.5,43584.6,43576.8,42766.4
5,43860,43881.9,43882.5,43872.7,43059.7
6,44180,44180.4,44180.5,44168.7,43353.1
3,44770,44747.3,44761.1,44759.6,43939.8
2,45020,45044.5,45058.6,45053.9,44233.2
4,45370,45341.6,45356.1,45348.2,44526.5
1,45620,45638.8,45653.5,45642.6,44819.9
5,45900,45935.9,45951,45936.9,45113.2
6,46190,46233,46248.5,46231.2,45406.6
3,46580,46530.2,46546,46525.5,45699.9
4,46820,46827.3,46843.5,46819.8,45993.3
2,47090,47124.5,47140.9,47114.1,46286.7
5,47420,47421.6,47438.4,47408.4,46580
1,47740,47718.8,47735.9,47702.7,46873.4
6,48020,48015.9,48033.4,47997,47166.7
4,48580,48579.6,48602.2,48578.6,47753.4
3,48900,48875.3,48898.9,48873.7,48046.8
5,49180,49171,49195.6,49168.8,48340.1
2,49430,49466.7,49492.3,49463.9,48633.5
1,49750,49762.4,49789,49759,48926.9
6,50050,50058.1,50085.7,50054.1,49220.2
4,50280,50353.8,50382.4,50349.2,49513.6
5,50630,50649.5,50679.1,50644.3,49806.9
3,50970,50945.2,50975.8,50939.4,50100.3
1,51280,51240.9,51272.5,51234.6,50393.6
2,51540,51536.6,51569.2,51529.7,50687
6,51830,51832.3,51865.9,51824.8,50980.3
5,52400,52417.2,52446.7,52436.7,51567.1
4,52720,52715.4,52743,52731.9,51860.4
1,53040,53013.6,53039.4,53027,52153.8
3,53340,53311.8,53335.8,53322.1,52447.1
2,53560,53610,53632.1,53617.3,52740.5
6,53870,53908.1,53928.5,53912.4,53033.8
5,54220,54206.3,54224.8,54207.6,53327.2
1,54530,54504.5,54521.2,54502.7,53620.5
4,54790,54802.7,54817.5,54797.9,53913.9
2,55130,55100.9,55113.9,55093,54207.2
3,55410,55399.1,55410.2,55388.1,54500.6
6,55710,55697.3,55706.6,55683.3,54794
1,56290,56259,56280.5,56258.4,55380.7
5,56580,56555.2,56576.4,56554,55674
2,56810,56851.4,56872.2,56849.6,55967.4
4,57110,57147.6,57168,57145.2,56260.7
3,57430,57443.8,57463.8,57440.8,56554.1
6,57720,57740,57759.6,57736.4,56847.4
1,58060,58036.2,58055.4,58032,57140.8
2,58340,58332.4,58351.2,58327.6,57434.2
5,58620,58628.6,58647,58623.1,57727.5
3,58910,58924.8,58942.8,58918.7,58020.9
4,59200,59221,59238.6,59214.3,58314.2
6,59540,59517.2,59534.4,59509.9,58607.6
2,60190,60109.8,60126.3,60119.8,59194.3
1,60450,60407.3,60422.1,60416.9,59487.6
5,60740,60704.8,60717.9,60714.1,59781
4,60950,61002.3,61013.7,61011.3,60074.4
3,61290,61299.7,61309.5,61308.4,60367.7
6,61560,61597.2,61605.4,61605.6,60661.1
2,61890,61894.7,61901.2,61902.7,60954.4
5,62220,62192.2,62197,62199.9,61247.8
1,62500,62489.7,62492.8,62497.1,61541.1
3,62790,62787.1,62788.6,62794.2,61834.5
4,63080,63084.6,63084.4,63091.4,62127.8
6,63390,63382.1,63380.2,63388.6,62421.2
5,63970,63968.4,63980.8,63987.6,63007.9
2,64250,64268.1,64276.9,64284.2,63301.3
3,64600,64567.8,64573,64580.9,63594.6
1,64850,64867.5,64869.1,64877.5,63888
4,65150,65167.2,65165.2,65174.2,64181.3
6,65470,65466.9,65461.3,65470.8,64474.7
5,65760,65766.6,65757.4,65767.5,64768
3,66070,66066.3,66053.5,66064.1,65061.4
2,66370,66366,66349.6,66360.8,65354.8
4,66690,66665.7,66645.7,66657.4,65648.1
1,66980,66965.4,66941.8,66954.1,65941.5
6,67270,67265.1,67237.9,67250.7,66234.8
3,67840,67835.7,67837.4,67846,66821.5
5,68130,68134.2,68133.7,68142.4,67114.9
4,68460,68432.7,68430.1,68438.7,67408.2
2,68710,68731.2,68726.4,68735,67701.6
1,69040,69029.7,69022.7,69031.3,67995
6,69350,69328.2,69319,69327.7,68288.3
3,69610,69626.7,69615.4,69624,68581.7
4,69890,69925.2,69911.7,69920.3,68875
5,70200,70223.7,70208,70216.7,69168.4
1,70520,70522.2,70504.3,70513,69461.7
2,70820,70820.7,70800.7,70809.3,69755.1
6,71140,71119.2,71097,71105.6,70048.4
4,71680,71693.9,71695.2,71709.2,70635.1
3,72010,71991.9,71991.7,72004.4,70928.5
1,72300,72289.9,72288.2,72299.5,71221.9
5,72590,72587.9,72584.7,72594.6,71515.2
2,72870,72885.8,72881.2,72889.8,71808.6
6,73190,73183.8,73177.7,73184.9,72101.9
4,73470,73481.8,73474.1,73480.1,72395.3
1,73810,73779.8,73770.6,73775.2,72688.6
3,74070,74077.7,74067.1,74070.4,72982
2,74360,74375.7,74363.6,74365.5,73275.3
5,74660,74673.7,74660.1,74660.6,73568.7
6,74980,74971.6,74956.6,74955.8,73862.1
1,75540,75534.2,75540.5,75534.5,74448.8
4,75800,75830.4,75836.8,75829.8,74742.1
3,76130,76126.7,76133,76125,75035.5
