Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1986.7,1990
2,2320,2291.82,2291.82,2283.21,2279.65
3,2600,2593.64,2593.64,2579.72,2569.29
4,2820,2895.45,2895.45,2876.23,2858.94
5,3080,3197.27,3197.27,3172.74,3148.58
6,3390,3499.09,3499.09,3469.25,3438.23
1,3830,3800.91,3800.91,3765.75,3727.87
2,4070,4102.73,4102.73,4062.26,4017.52
3,4390,4404.55,4404.55,4358.77,4307.16
4,4670,4706.36,4706.36,4655.28,4596.81
5,4940,5008.18,5008.18,4951.79,4886.45
6,5310,5310,5310,5248.3,5176.1
1,5810,5844.31,5858.8,5830.04,5755.39
2,6110,6139.51,6152.1,6126.55,6045.03
3,6400,6434.71,6445.39,6423.05,6334.68
4,6720,6729.92,6738.69,6719.56,6624.32
5,7000,7025.12,7031.99,7016.07,6913.97
6,7330,7320.32,7325.29,7312.58,7203.61
1,7650,7615.52,7618.59,7609.09,7493.26
2,7930,7910.72,7911.88,7905.6,7782.9
3,8220,8205.92,8205.18,8202.1,8072.55
4,8510,8501.12,8498.48,8498.61,8362.19
5,8750,8796.33,8791.78,8795.12,8651.84
6,9100,9091.53,9085.07,9091.63,8941.48
1,9650,9652.37,9662.6,9670.24,9520.77
2,9950,9951.33,9960.21,9966.11,9810.42
3,10250,10250.3,10257.8,10262,10100.1
4,10520,10549.2,10555.4,10557.8,10389.7
5,10870,10848.2,10853.1,10853.7,10679.4
6,11160,11147.2,11150.7,11149.6,10969
1,11490,11446.1,11448.3,11445.4,11258.6
2,11740,11745.1,11745.9,11741.3,11548.3
3,12030,12044,12043.5,12037.2,11837.9
4,12350,12343,12341.1,12333,12127.6
5,12620,12642,12638.7,12628.9,12417.2
6,12940,12940.9,12936.4,12924.8,12706.9
1,13480,13496,13510.3,13502,13286.2
2,13800,13792.1,13804.5,13797,13575.8
3,14090,14088.2,14098.7,14091.9,13865.4
4,14380,14384.3,14392.9,14386.8,14155.1
5,14650,14680.4,14687.1,14681.8,14444.7
6,14960,14976.4,14981.4,14976.7,14734.4
1,15310,15272.5,15275.6,15271.6,15024
2,15600,15568.6,15569.8,15566.6,15313.7
3,15870,15864.7,15864,15861.5,15603.3
4,16190,16160.8,16158.3,16156.4,15893
5,16460,16456.9,16452.5,16451.4,16182.6
6,16700,16753,16746.7,16746.3,16472.3
1,17290,17307.9,17328.5,17319,17051.5
2,17600,17604.2,17622.5,17613.1,17341.2
3,17890,17900.5,17916.6,17907.2,17630.8
4,18210,18196.8,18210.6,18201.3,17920.5
5,18500,18493,18504.7,18495.5,18210.1
6,18790,18789.3,18798.7,18789.6,18499.8
1,19080,19085.6,19092.8,19083.7,18789.4
2,19410,19381.9,19386.8,19377.9,19079.1
3,19640,19678.2,19680.9,19672,19368.7
4,19980,19974.5,19974.9,19966.1,19658.3
5,20300,20270.8,20268.9,20260.2,19948
6,20550,20567.1,20563,20554.4,20237.6
1,21160,21117.8,21140.6,21124.3,20816.9
2,21380,21413.5,21434.3,21418.5,21106.6
3,21680,21709.2,21728.1,21712.7,21396.2
4,21990,22005,22021.8,22006.9,21685.9
5,22290,22300.7,22315.6,22301.2,21975.5
6,22580,22596.4,22609.3,22595.4,22265.2
1,22940,22892.2,22903.1,22889.6,22554.8
2,23210,23187.9,23196.8,23183.8,22844.4
3,23460,23483.6,23490.6,23478.1,23134.1
4,23780,23779.4,23784.3,23772.3,23423.7
5,24070,24075.1,24078.1,24066.5,23713.4
6,24370,24370.8,24371.8,24360.7,24003
