Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2097.98,1990
2,2220,2238.95,2238.95,2333.08,2211.28
3,2510,2487.89,2487.89,2568.19,2432.55
4,2770,2736.84,2736.84,2803.3,2653.83
5,2960,2985.79,2985.79,3038.41,2875.11
6,3260,3234.74,3234.74,3273.52,3096.39
7,3580,3483.68,3483.68,3508.62,3317.66
8,3810,3732.63,3732.63,3743.73,3538.94
9,4040,3981.58,3981.58,3978.84,3760.22
10,4300,4230.53,4230.53,4213.95,3981.49
1,4360,4479.47,4479.47,4449.05,4202.77
2,4700,4728.42,4728.42,4684.16,4424.05
3,4840,4977.37,4977.37,4919.27,4645.33
4,5160,5226.32,5226.32,5154.38,4866.6
5,5440,5475.26,5475.26,5389.48,5087.88
6,5610,5724.21,5724.21,5624.59,5309.16
7,5890,5973.16,5973.16,5859.7,5530.43
8,6130,6222.11,6222.11,6094.81,5751.71
9,6340,6471.05,6471.05,6329.92,5972.99
10,6720,6720,6720,6565.02,6194.27
1,6930,7066.71,7113.35,7048.48,6636.82
2,7220,7301.12,7344.17,7283.58,6858.1
3,7500,7535.54,7574.99,7518.69,7079.37
4,7720,7769.95,7805.82,7753.8,7300.65
5,7980,8004.36,8036.64,7988.91,7521.93
6,8260,8238.77,8267.46,8224.02,7743.2
7,8560,8473.18,8498.28,8459.12,7964.48
8,8770,8707.59,8729.1,8694.23,8185.76
9,9010,8942,8959.92,8929.34,8407.04
10,9260,9176.41,9190.74,9164.45,8628.31
1,9380,9410.82,9421.56,9399.55,8849.59
2,9610,9645.24,9652.39,9634.66,9070.87
3,9730,9879.65,9883.21,9869.77,9292.14
4,10020,10114.1,10114,10104.9,9513.42
5,10320,10348.5,10344.8,10340,9734.7
6,10590,10582.9,10575.7,10575.1,9955.98
7,10800,10817.3,10806.5,10810.2,10177.3
8,11070,11051.7,11037.3,11045.3,10398.5
9,11280,11286.1,11268.1,11280.4,10619.8
10,11630,11520.5,11499,11515.5,10841.1
1,12030,11972.7,11978.9,11961.8,11283.6
2,12210,12203.4,12209.1,12194.3,11504.9
3,12430,12434.1,12439.4,12426.8,11726.2
4,12670,12664.9,12669.6,12659.3,11947.5
5,12860,12895.6,12899.9,12891.8,12168.7
6,13140,13126.3,13130.1,13124.3,12390
7,13410,13357.1,13360.4,13356.8,12611.3
8,13600,13587.8,13590.6,13589.3,12832.6
9,13890,13818.5,13820.9,13821.8,13053.9
10,14070,14049.2,14051.1,14054.3,13275.1
1,14380,14280,14281.4,14286.7,13496.4
2,14460,14510.7,14511.6,14519.2,13717.7
3,14700,14741.4,14741.9,14751.7,13939
4,14940,14972.2,14972.1,14984.2,14160.2
5,15160,15202.9,15202.4,15216.7,14381.5
6,15420,15433.6,15432.6,15449.2,14602.8
7,15600,15664.4,15662.9,15681.7,14824.1
8,15900,15895.1,15893.1,15914.2,15045.3
9,16110,16125.8,16123.4,16146.7,15266.6
10,16430,16356.6,16353.6,16379.2,15487.9
1,16850,16806.1,16811.7,16807,15930.5
2,17050,17038.2,17043.3,17039.1,16151.7
3,17240,17270.2,17274.9,17271.1,16373
4,17480,17502.3,17506.5,17503.2,16594.3
5,17700,17734.3,17738.2,17735.2,16815.6
6,17960,17966.4,17969.8,17967.3,17036.8
7,18220,18198.4,18201.4,18199.3,17258.1
8,18410,18430.5,18433,18431.4,17479.4
9,18720,18662.5,18664.7,18663.4,17700.7
10,18950,18894.6,18896.3,18895.5,17922
1,19180,19126.6,19127.9,19127.5,18143.2
2,19380,19358.7,19359.5,19359.6,18364.5
3,19560,19590.7,19591.1,19591.6,18585.8
4,19790,19822.8,19822.8,19823.7,18807.1
5,20020,20054.8,20054.4,20055.7,19028.3
6,20170,20286.9,20286,20287.8,19249.6
7,20490,20518.9,20517.6,20519.8,19470.9
8,20780,20751,20749.3,20751.9,19692.2
9,20960,20983,20980.9,20983.9,19913.4
10,21320,21215.1,21212.5,21216,20134.7
1,21750,21678.5,21677.8,21677,20577.3
2,21950,21909.8,21909.4,21909.1,20798.6
3,22140,22141,22141.1,22141.1,21019.8
4,22370,22372.3,22372.7,22373.2,21241.1
5,22580,22603.6,22604.3,22605.2,21462.4
6,22830,22834.9,22835.9,22837.3,21683.7
7,23040,23066.2,23067.6,23069.3,21904.9
8,23300,23297.5,23299.2,23301.4,22126.2
9,23600,23528.7,23530.8,23533.4,22347.5
10,23810,23760,23762.4,23765.5,22568.8
1,24060,23991.3,23994.1,23997.5,22790
2,24250,24222.6,24225.7,24229.6,23011.3
3,24440,24453.9,24457.3,24461.6,23232.6
4,24670,24685.2,24688.9,24693.7,23453.9
5,24900,24916.4,24920.6,24925.7,23675.2
6,25080,25147.7,25152.2,25157.8,23896.4
7,25310,25379,25383.8,25389.8,24117.7
8,25580,25610.3,25615.4,25621.9,24339
9,25830,25841.6,25847,25853.9,24560.3
10,26140,26072.9,26078.7,26086,24781.5
1,26540,26527.7,26532.2,26532.8,25224.1
2,26760,26758.6,26763.5,26763.3,25445.4
