Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2113.79,1990
2,2270,2237.89,2237.89,2344.44,2209.34
3,2420,2485.79,2485.79,2575.09,2428.69
4,2720,2733.68,2733.68,2805.75,2648.03
5,2970,2981.58,2981.58,3036.4,2867.38
6,3300,3229.47,3229.47,3267.06,3086.72
7,3560,3477.37,3477.37,3497.71,3306.07
8,3810,3725.26,3725.26,3728.36,3525.41
9,4050,3973.16,3973.16,3959.02,3744.76
10,4390,4221.05,4221.05,4189.67,3964.1
2,4310,4468.95,4468.95,4420.33,4183.45
1,4320,4716.84,4716.84,4650.98,4402.79
3,4770,4964.74,4964.74,4881.64,4622.14
4,5000,5212.63,5212.63,5112.29,4841.48
6,5530,5460.53,5460.53,5342.94,5060.82
5,5560,5708.42,5708.42,5573.6,5280.17
7,5850,5956.32,5956.32,5804.25,5499.51
8,6200,6204.21,6204.21,6034.91,5718.86
9,6380,6452.11,6452.11,6265.56,5938.2
10,6700,6700,6700,6496.21,6157.55
1,6970,7056.12,7099.13,7037.79,6596.24
2,7250,7285.97,7325.67,7268.44,6815.58
3,7470,7515.83,7552.22,7499.09,7034.93
4,7690,7745.68,7778.76,7729.75,7254.27
5,7930,7975.53,8005.3,7960.4,7473.62
6,8250,8205.39,8231.85,8191.06,7692.96
7,8460,8435.24,8458.39,8421.71,7912.31
8,8700,8665.1,8684.93,8652.36,8131.65
9,8980,8894.95,8911.48,8883.02,8350.99
10,9170,9124.8,9138.02,9113.67,8570.34
1,9330,9354.66,9364.56,9344.33,8789.68
2,9550,9584.51,9591.1,9574.98,9009.03
3,9700,9814.36,9817.65,9805.64,9228.37
4,9960,10044.2,10044.2,10036.3,9447.72
5,10230,10274.1,10270.7,10266.9,9667.06
6,10470,10503.9,10497.3,10497.6,9886.41
7,10720,10733.8,10723.8,10728.3,10105.8
8,10990,10963.6,10950.4,10958.9,10325.1
9,11200,11193.5,11176.9,11189.6,10544.4
10,11560,11423.3,11403.5,11420.2,10763.8
1,11850,11825.1,11842.6,11829.2,11202.5
2,12090,12050.9,12067,12054.7,11421.8
3,12270,12276.6,12291.4,12280.1,11641.2
4,12460,12502.3,12515.8,12505.6,11860.5
5,12700,12728.1,12740.1,12731,12079.9
6,12980,12953.8,12964.5,12956.5,12299.2
7,13190,13179.5,13188.9,13181.9,12518.5
8,13420,13405.2,13413.3,13407.4,12737.9
9,13710,13631,13637.6,13632.8,12957.2
10,13930,13856.7,13862,13858.3,13176.6
1,14050,14082.4,14086.4,14083.7,13395.9
2,14250,14308.1,14310.8,14309.2,13615.3
3,14470,14533.9,14535.2,14534.6,13834.6
4,14690,14759.6,14759.5,14760.1,14054
5,14950,14985.3,14983.9,14985.5,14273.3
6,15230,15211,15208.3,15211,14492.6
7,15430,15436.8,15432.7,15436.4,14712
8,15690,15662.5,15657.1,15661.9,14931.3
9,15890,15888.2,15881.4,15887.3,15150.7
10,16170,16114,16105.8,16112.8,15370
1,16540,16545.8,16555,16551.6,15808.7
2,16830,16769.9,16778.4,16775.4,16028.1
3,17020,16993.9,17001.7,16999.1,16247.4
4,17230,17218,17225.1,17222.8,16466.7
5,17440,17442.1,17448.4,17446.5,16686.1
6,17660,17666.1,17671.8,17670.3,16905.4
7,17890,17890.2,17895.1,17894,17124.8
8,18110,18114.3,18118.5,18117.7,17344.1
9,18420,18338.3,18341.9,18341.4,17563.5
10,18580,18562.4,18565.2,18565.1,17782.8
1,18710,18786.5,18788.6,18788.9,18002.2
2,19050,19010.5,19011.9,19012.6,18221.5
3,19120,19234.6,19235.3,19236.3,18440.8
4,19400,19458.7,19458.6,19460,18660.2
5,19680,19682.7,19682,19683.7,18879.5
6,19890,19906.8,19905.4,19907.5,19098.9
7,20130,20130.9,20128.7,20131.2,19318.2
8,20390,20354.9,20352.1,20354.9,19537.6
9,20590,20579,20575.4,20578.6,19756.9
10,20860,20803.1,20798.8,20802.4,19976.3
1,21200,21224.9,21235.5,21232.1,20414.9
2,21490,21448.3,21458.6,21454.7,20634.3
3,21660,21671.8,21681.7,21677.3,20853.6
4,21860,21895.2,21904.8,21899.8,21073
5,22100,22118.6,22127.9,22122.4,21292.3
