Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2182.24,1990
2,2330,2236.32,2236.32,2414.74,2209.35
3,2600,2482.63,2482.63,2647.24,2428.71
4,2830,2728.95,2728.95,2879.74,2648.06
5,3010,2975.26,2975.26,3112.24,2867.41
6,3340,3221.58,3221.58,3344.74,3086.76
7,3600,3467.89,3467.89,3577.25,3306.12
8,3770,3714.21,3714.21,3809.75,3525.47
9,4040,3960.53,3960.53,4042.25,3744.82
10,4280,4206.84,4206.84,4274.75,3964.18
1,4500,4453.16,4453.16,4507.25,4183.53
2,4820,4699.47,4699.47,4739.75,4402.88
3,5130,4945.79,4945.79,4972.25,4622.23
4,5220,5192.11,5192.11,5204.75,4841.59
5,5480,5438.42,5438.42,5437.26,5060.94
6,5750,5684.74,5684.74,5669.76,5280.29
7,5980,5931.05,5931.05,5902.26,5499.65
8,6130,6177.37,6177.37,6134.76,5719
9,6350,6423.68,6423.68,6367.26,5938.35
10,6670,6670,6670,6599.76,6157.7
1,7130,7174.78,7170.69,7123.24,6596.41
2,7410,7401.76,7397.98,7355.74,6815.76
3,7730,7628.73,7625.27,7588.24,7035.12
4,7900,7855.71,7852.56,7820.74,7254.47
5,8080,8082.68,8079.85,8053.24,7473.82
6,8310,8309.66,8307.14,8285.74,7693.17
7,8540,8536.63,8534.43,8518.25,7912.53
8,8720,8763.61,8761.73,8750.75,8131.88
9,8980,8990.59,8989.02,8983.25,8351.23
10,9160,9217.56,9216.31,9215.75,8570.59
1,9470,9444.54,9443.6,9448.25,8789.94
2,9600,9671.51,9670.89,9680.75,9009.29
3,9930,9898.49,9898.18,9913.25,9228.64
4,10120,10125.5,10125.5,10145.8,9448
5,10330,10352.4,10352.8,10378.3,9667.35
6,10580,10579.4,10580,10610.8,9886.7
7,10880,10806.4,10807.3,10843.3,10106.1
8,11020,11033.4,11034.6,11075.8,10325.4
9,11230,11260.3,11261.9,11308.3,10544.8
10,11520,11487.3,11489.2,11540.8,10764.1
1,11950,11958.8,11947,11924.2,11202.8
2,12210,12183.2,12172.3,12152,11422.2
3,12470,12407.6,12397.5,12379.8,11641.5
4,12620,12632,12622.8,12607.5,11860.9
5,12780,12856.3,12848.1,12835.3,12080.2
6,13010,13080.7,13073.4,13063.1,12299.6
7,13340,13305.1,13298.7,13290.8,12518.9
8,13480,13529.5,13524,13518.6,12738.3
9,13770,13753.9,13749.3,13746.4,12957.6
10,13940,13978.2,13974.6,13974.1,13177
1,14220,14202.6,14199.9,14201.9,13396.3
2,14430,14427,14425.2,14429.6,13615.7
3,14690,14651.4,14650.5,14657.4,13835.1
4,14910,14875.8,14875.8,14885.2,14054.4
5,15040,15100.2,15101.1,15112.9,14273.8
6,15310,15324.5,15326.4,15340.7,14493.1
7,15580,15548.9,15551.7,15568.5,14712.5
8,15770,15773.3,15776.9,15796.2,14931.8
9,15990,15997.7,16002.2,16024,15151.2
10,16250,16222.1,16227.5,16251.8,15370.5
1,16700,16710.9,16697.4,16680.8,15809.2
2,16940,16934,16921.5,16907.2,16028.6
3,17190,17157.1,17145.7,17133.6,16247.9
4,17420,17380.3,17369.9,17360,16467.3
5,17620,17603.4,17594.1,17586.4,16686.6
6,17840,17826.5,17818.2,17812.8,16906
7,18030,18049.7,18042.4,18039.1,17125.3
8,18250,18272.8,18266.6,18265.5,17344.7
9,18500,18495.9,18490.8,18491.9,17564.1
10,18680,18719.1,18714.9,18718.3,17783.4
1,18940,18942.2,18939.1,18944.7,18002.8
2,19170,19165.3,19163.3,19171.1,18222.1
3,19400,19388.5,19387.4,19397.5,18441.5
4,19550,19611.6,19611.6,19623.9,18660.8
5,19830,19834.7,19835.8,19850.2,18880.2
6,20040,20057.9,20060,20076.6,19099.5
7,20290,20281,20284.1,20303,19318.9
8,20520,20504.1,20508.3,20529.4,19538.2
9,20710,20727.3,20732.5,20755.8,19757.6
10,21010,20950.4,20956.7,20982.2,19976.9
1,21430,21427.3,21402.3,21389.5,20415.6
2,21630,21648.9,21626.4,21614.8,20635
3,21910,21870.5,21850.4,21840.1,20854.3
4,22090,22092.1,22074.5,22065.4,21073.7
5,22310,22313.7,22298.5,22290.7,21293.1
6,22530,22535.3,22522.6,22516.1,21512.4
7,22730,22756.9,22746.6,22741.4,21731.8
8,22940,22978.5,22970.7,22966.7,21951.1
9,23200,23200.1,23194.7,23192,22170.5
10,23400,23421.7,23418.8,23417.3,22389.8
1,23680,23643.3,23642.8,23642.7,22609.2
2,23880,23864.9,23866.9,23868,22828.5
3,24120,24086.4,24090.9,24093.3,23047.9
4,24290,24308,24315,24318.6,23267.2
5,24500,24529.6,24539,24543.9,23486.6
6,24700,24751.2,24763.1,24769.3,23705.9
7,24970,24972.8,24987.1,24994.6,23925.3
8,25180,25194.4,25211.2,25219.9,24144.6
9,25410,25416,25435.2,25445.2,24364
10,25700,25637.6,25659.3,25670.5,24583.3
1,26130,26120.9,26103.8,26093.7,25022.1
2,26310,26342.9,26327.7,26318.5,25241.4
3,26670,26565,26551.6,26543.2,25460.8
4,26800,26787,26775.6,26768,25680.1
5,26980,27009,26999.5,26992.8,25899.5
6,27230,27231,27223.4,27217.5,26118.8
7,27430,27453,27447.3,27442.3,26338.2
8,27620,27675,27671.2,27667.1,26557.5
9,27870,27897,27895.1,27891.8,26776.9
10,28060,28119,28119.1,28116.6,26996.2
1,28380,28341,28343,28341.4,27215.6
2,28520,28563,28566.9,28566.2,27434.9
3,28820,28785,28790.8,28790.9,27654.3
4,29000,29007,29014.7,29015.7,27873.6
5,29230,29229,29238.6,29240.5,28093
6,29450,29451,29462.5,29465.2,28312.3
7,29660,29673,29686.5,29690,28531.7
8,29930,29895,29910.4,29914.8,28751
9,30090,30117,30134.3,30139.5,28970.4
10,30400,30339,30358.2,30364.3,29189.8
2,30820,30814.1,30791.7,30787.2,29628.5
1,31020,31034.4,31015.1,31010.1,29847.8
4,31200,31254.7,31238.5,31232.9,30067.2
3,31490,31475,31462,31455.8,30286.5
6,31700,31695.2,31685.4,31678.7,30505.9
5,31900,31915.5,31908.9,31901.6,30725.2
8,32130,32135.8,32132.3,32124.4,30944.6
7,32390,32356.1,32355.7,32347.3,31163.9
10,32550,32576.4,32579.2,32570.2,31383.3
9,32870,32796.7,32802.6,32793.1,31602.6
1,33030,33016.9,33026.1,33015.9,31822
2,33240,33237.2,33249.5,33238.8,32041.3
4,33460,33457.5,33472.9,33461.7,32260.7
6,33600,33677.8,33696.4,33684.6,32480
3,33940,33898.1,33919.8,33907.4,32699.4
8,34070,34118.3,34143.2,34130.3,32918.8
5,34320,34338.6,34366.7,34353.2,33138.1
10,34580,34558.9,34590.1,34576.1,33357.5
7,34780,34779.2,34813.6,34798.9,33576.8
9,35000,34999.5,35037,35021.8,33796.2
2,35440,35465.5,35443.6,35425.6,34234.9
1,35690,35682.6,35665.8,35646.6,34454.2
6,35910,35899.8,35888,35867.5,34673.6
4,36070,36117,36110.1,36088.4,34892.9
8,36290,36334.2,36332.3,36309.4,35112.3
3,36640,36551.4,36554.5,36530.3,35331.6
10,36730,36768.6,36776.7,36751.2,35551
5,36980,36985.8,36998.9,36972.2,35770.3
9,37190,37203,37221.1,37193.1,35989.7
7,37460,37420.2,37443.3,37414,36209
2,37600,37637.4,37665.5,37635,36428.4
6,37880,37854.6,37887.7,37855.9,36647.8
1,38130,38071.8,38109.8,38076.8,36867.1
4,38180,38289,38332,38297.8,37086.5
3,38550,38506.2,38554.2,38518.7,37305.8
8,38690,38723.4,38776.4,38739.6,37525.2
5,38920,38940.6,38998.6,38960.6,37744.5
10,39170,39157.8,39220.8,39181.5,37963.9
7,39380,39375,39443,39402.4,38183.2
9,39590,39592.1,39665.2,39623.4,38402.6
6,40080,40062.5,40060.4,40021.2,38841.3
2,40300,40279.4,40281.1,40242,39060.6
4,40490,40496.2,40501.8,40462.8,39280
1,40700,40713.1,40722.5,40683.6,39499.3
8,40870,40930,40943.3,40904.5,39718.7
3,41130,41146.8,41164,41125.3,39938
10,41340,41363.7,41384.7,41346.1,40157.4
5,41530,41580.5,41605.5,41566.9,40376.8
9,41790,41797.4,41826.2,41787.8,40596.1
7,42020,42014.3,42046.9,42008.6,40815.5
2,42240,42231.1,42267.7,42229.4,41034.8
6,42460,42448,42488.4,42450.2,41254.2
1,42700,42664.8,42709.1,42671.1,41473.5
4,42880,42881.7,42929.8,42891.9,41692.9
8,43090,43098.6,43150.6,43112.7,41912.2
10,43330,43315.4,43371.3,43333.5,42131.6
3,43480,43532.3,43592,43554.4,42350.9
9,43750,43749.2,43812.8,43775.2,42570.3
5,43940,43966,44033.5,43996,42789.6
7,44260,44182.9,44254.2,44216.8,43009
6,44640,44665.9,44667.4,44635.2,43447.7
2,44870,44883.6,44887.2,44856.2,43667
4,45090,45101.2,45107.1,45077.1,43886.4
1,45300,45318.9,45327,45298.1,44105.7
10,45500,45536.6,45546.9,45519.1,44325.1
8,45720,45754.2,45766.7,45740.1,44544.5
9,46020,45971.9,45986.6,45961.1,44763.8
3,46250,46189.5,46206.5,46182,44983.2
7,46400,46407.2,46426.4,46403,45202.5
5,46600,46624.9,46646.2,46624,45421.9
6,46930,46842.5,46866.1,46845,45641.2
4,47120,47060.2,47086,47066,45860.6
2,47320,47277.8,47305.9,47287,46079.9
10,47550,47495.5,47525.7,47507.9,46299.3
1,47680,47713.2,47745.6,47728.9,46518.6
8,47890,47930.8,47965.5,47949.9,46738
3,48140,48148.5,48185.4,48170.9,46957.3
9,48300,48366.1,48405.2,48391.9,47176.7
5,48550,48583.8,48625.1,48612.8,47396
